地 区,Region,"法人企业
(个)
Number of
Corporate
Enterprises
(unit)","年末从业
人数(人)
Employed
P ersons
at Year-end
(person)","营业额
Business
Revenue",,"资产总计
Total
Assets",,,,,,,,,,
,,,,,"#餐费收入
From
Meals",,"#流动资产
合 计
Total
Current
Assets","#固定资产
净 额
Net Value
of Fixed
Assets",地 区,Region,"负债合计
Total
Liabilities","所有者
权益合计
Tota1
Owners'
Equities","营业收入
Business
Revenue","营业成本
Business
Cost","税金及附加
Taxes and
Other Charges","利润总额
Total
Profits"
全 国,National Total,29918,2527930,6557.4,5886.6,5590.1,2694.7,1203.1,全 国,National Total,3932.4,1636.9,6244.0,3272.9,42.9,251.2
北 京,  Beijing,2076,286228,884.2,819.6,552.9,358.8,52.0,北 京,  Beijing,424.9,128.1,830.7,372.6,1.6,23.1
天 津,  Tianjin,483,62480,128.8,114.7,112.2,51.4,30.9,天 津,  Tianjin,82.3,29.8,124.1,63.5,0.4,4.0
河 北,  Hebei,468,30697,52.3,39.6,111.8,56.4,25.2,河 北,  Hebei,91.2,20.4,50.5,25.6,0.5,-2.8
山 西,  Shanxi,471,40078,59.7,48.7,101.5,47.7,21.4,山 西,  Shanxi,91.7,9.6,57.4,28.0,0.7,-1.2
内蒙古,  Inner Mongolia,239,23038,54.3,45.4,94.7,34.9,28.2,内蒙古,  Inner Mongolia,72.8,21.9,51.4,28.6,0.4,-1.6
辽 宁,  Liaoning,340,33869,112.5,105.0,135.0,53.8,29.9,辽 宁,  Liaoning,119.6,15.4,108.2,56.0,0.5,4.7
吉 林,  Jilin,166,8772,17.8,14.8,22.9,11.3,4.2,吉林,  Jilin,19.6,2.8,17.2,10.4,0.2,-0.8
黑龙江,  Heilongjiang,87,5056,10.3,8.4,16.4,7.4,4.0,黑龙江,  Heilongjiang,11.1,4.8,10.3,4.2,0.1,-0.3
上 海,  Shanghai,2231,306772,958.7,894.7,543.4,339.8,66.6,上 海,  Shanghai,390.5,153.0,907.8,418.0,1.2,25.4
江 苏,  Jiangsu,2030,207979,507.2,437.2,554.6,222.9,205.1,江 苏,  Jiangsu,390.8,163.7,492.4,254.2,3.7,19.7
浙 江,  Zhejiang,1957,156462,447.7,398.4,430.6,183.4,111.0,浙 江,  Zhejiang,334.2,94.2,419.4,220.1,1.7,14.4
安 徽,  Anhui,1271,82070,177.1,153.8,195.1,80.3,48.2,安 徽,  Anhui,119.1,76.0,170.8,97.7,1.7,11.4
福 建,  Fujian,1272,87287,288.9,270.2,126.4,63.8,20.1,福 建,  Fujian,69.7,55.5,277.0,181.5,2.3,15.4
江 西,  Jiangxi,635,28156,60.6,50.9,90.2,38.7,22.9,江 西,  Jiangxi,59.9,29.4,58.8,35.6,1.1,6.0
山 东,  Shandong,1377,101545,215.0,175.1,326.1,108.9,106.8,山 东,  Shandong,264.6,61.3,206.7,106.3,1.6,-2.9
河 南,  Henan,1133,52528,100.2,87.0,117.7,54.3,21.2,河 南,  Henan,64.9,50.0,97.7,54.5,1.4,6.7
湖 北,  Hubei,1494,101226,300.1,261.2,283.3,124.0,62.8,湖 北,  Hubei,195.7,83.5,282.3,164.3,3.6,21.0
湖 南,  Hunan,1250,73152,187.7,161.8,134.8,50.8,31.6,湖 南,  Hunan,78.4,54.7,179.7,113.7,3.1,13.9
广 东,  Guangdong,4393,430440,1027.4,946.0,666.6,365.4,109.5,广 东,  Guangdong,459.4,207.7,978.3,483.5,3.7,32.7
广 西,  Guangxi,415,34553,63.0,55.5,44.8,24.4,9.5,广 西,  Guangxi,33.9,10.4,59.6,32.5,0.6,2.4
海 南,  Hainan,71,6991,14.1,13.2,14.9,7.8,2.5,海 南,  Hainan,10.1,4.9,13.4,6.2,0.1,-0.1
重 庆,  Chongqing,1159,60343,184.6,165.6,120.1,49.5,30.8,重 庆,  Chongqing,60.1,60.0,175.8,117.6,3.9,16.5
四 川,  Sichuan,1672,130919,299.9,270.0,355.1,158.4,63.0,四 川,  Sichuan,226.9,126.4,287.1,156.1,2.7,28.3
贵州,  Guizhou,607,24266,45.9,41.4,50.4,30.4,5.8,贵 州,  Guizhou,31.1,18.6,45.1,30.9,0.3,0.9
云 南,  Yunnan,633,28086,63.9,57.0,79.2,45.6,16.1,云 南,  Yunnan,45.4,33.6,62.1,39.8,1.3,4.3
西 藏,  Tibet,13,685,1.9,1.8,3.4,2.0,1.1,西 藏,  Tibet,1.7,1.7,1.9,1.1,,0.4
陕 西,  Shaanxi,1372,83613,225.2,191.1,168.7,72.4,35.5,陕 西,  Shaanxi,92.4,73.8,212.4,133.6,3.3,10.6
甘 肃,  Gansu,347,22958,35.1,30.4,55.8,21.3,15.9,甘 肃,  Gansu,35.9,19.5,33.6,18.8,0.9,-0.2
青 海,  Qinghai,58,3580,4.8,3.8,16.6,7.5,3.3,青 海,  Qinghai,10.9,5.6,4.7,2.8,0.1,-0.2
宁 夏,  Ningxia,72,4667,7.0,5.1,16.5,6.2,5.7,宁 夏,  Ningxia,15.2,1.1,6.7,3.5,0.1,-0.3
新 疆,  Xinjiang,126,9434,21.4,19.3,48.2,15.3,12.4,新 疆,  Xinjiang,28.6,19.7,20.9,11.7,0.1,0.1
