指 标,Item,2015,2016,2017,2018,2019
旅行社数 (个),Number of Travel Agencies (unit),27621,27939,29717,37309,38943
星级饭店数 (个),Number of Star-rated Hotels (unit),12327,11685,9566,8962,10130
入境游客 (万人次),Number of Overseas Visitor Arrivals(10 000 person-times),13382.04,13844.38,13948.24,14119.83,14530.78
    外国人,  Foreigners,2598.54,2815.12,2916.53,3054.29,3188.34
    港澳同胞,  Chinese Compatriots From Hong Kong and Macao,10233.64,10456.26,10444.59,10451.93,10729.01
    台湾同胞,  Chinese Compatriots From Taiwan Province,549.86,573.00,587.13,613.61,613.42
  #入境过夜游客,  Overnight Tourists,5688.57,5926.73,6073.84,6289.57,6572.52
国内居民出境人数(万人次),"Number of Chinese Outbound Visitors
(10 000 person-times)",12786.00,13513.00,14272.74,16199.34,16920.54
  #因私出境人数,  For Private Purpose,12172.00,12850.00,13581.56,15501.69,16211.43
国内游客 (亿人次),Number of Domestic Visitors (100 million person-times),40.00,44.40,50.01,55.39,60.06
旅游收入,Tourism Earnings,,,,,
    国际旅游收入(亿美元),  Earnings from International Tourism (100 million USD),1136.50,1200.00,1234.17,1271.03,1312.54
    国内旅游收入 (亿元),  Earnings from Domestic Tourism (100 million yuan),34195.05,39390.00,45660.77,51278.29,57250.92
