"年 份
Year","国内游客
(百万人次)
Domestic
Visitors (million
person-times)",,,"旅游总花费
(亿元)
Tourism
Expenditure(100
million yuan)",,,"人均花费
(元)
Per Capita
Expenditure
(yuan)",,
,,"城镇居民
Urban
Residents","农村居民
Rural
Residents",,"城镇居民
Urban
Residents","农村居民
Rural
Residents",,"城镇居民
Urban
Residents","农村居民
Rural
Residents"
1994,524,205,319,1023.5,848.2,175.3,195.3,414.7,54.9
1995,629,246,383,1375.7,1140.1,235.6,218.7,464.0,61.5
1996,639,256,383,1638.4,1368.4,270.0,256.2,534.1,70.5
1997,644,259,385,2112.7,1551.8,560.9,328.1,599.8,145.7
1998,694,250,445,2391.2,1515.1,876.1,345.0,607.0,197.0
1999,719,284,435,2831.9,1748.2,1083.7,394.0,614.8,249.5
2000,744,329,415,3175.5,2235.3,940.3,426.6,678.6,226.6
2001,784,375,409,3522.4,2651.7,870.7,449.5,708.3,212.7
2002,878,385,493,3878.4,2848.1,1030.3,441.8,739.7,209.1
2003,870,351,519,3442.3,2404.1,1038.2,395.7,684.9,200.0
2004,1102,459,643,4710.7,3359.0,1351.7,427.5,731.8,210.2
2005,1212,496,716,5285.9,3656.1,1629.7,436.1,737.1,227.6
2006,1394,576,818,6229.7,4414.7,1815.0,446.9,766.4,221.9
2007,1610,612,998,7770.6,5550.4,2220.2,482.6,906.9,222.5
2008,1712,703,1009,8749.3,5971.7,2777.6,511.0,849.4,275.3
2009,1902,903,999,10183.7,7233.8,2949.9,535.4,801.1,295.3
2010,2103,1065,1038,12579.8,9403.8,3176.0,598.2,883.0,306.0
2011,2641,1687,954,19305.4,14808.6,4496.8,731.0,877.8,471.4
2012,2957,1933,1024,22706.2,17678.0,5028.2,767.9,914.5,491.0
2013,3262,2186,1076,26276.1,20692.6,5583.5,805.5,946.6,518.9
2014,3611,2483,1128,30311.9,24219.8,6092.1,839.7,975.4,540.2
2015,3990,2802,1188,34195.1,27610.9,6584.2,857.0,985.5,554.2
2016,4435,3195,1240,39389.8,32241.9,7147.9,888.2,1009.1,576.4
2017,5001,3677,1324,45660.8,37673.0,7987.7,913.0,1024.6,603.3
2018,5539,4119,1420,51278.3,42590.0,8688.3,925.8,1034.0,611.9
2019,6006,4471,1535,57250.9,47509.0,9741.9,953.3,1062.6,634.7
